Year of Data,STRUCTURE_NUMBER_008,Bridge Health Index (Overall),Bridge Health Index (Deck),Bridge Health Index (Super),Bridge Health Index (Sub)
2002,300000BCY139011,93.09,94.06,95.25,91.41
2003,300000BCY139011,92.09,94.06,90.62,91.41
2004,300000BCY139011,93.09,94.06,95.25,91.41
2005,300000BCY139011,93.09,94.06,95.25,91.41
2006,300000BCY139011,94.29,91.7,95.25,95.63
2007,300000BCY139011,94.29,91.7,95.25,95.63
2008,300000BCY139011,94.29,91.7,95.25,95.63
2009,300000BCY139011,94.29,91.7,95.25,95.63
2010,300000BCY139011,99.95,99.94,99.87,100.0
2011,300000BCY139011,99.95,99.94,99.87,100.0
2012,300000BCY139011,99.95,99.94,99.87,100.0
2013,300000BCY139011,97.94,99.94,99.87,95.63
2014,300000BCY139011,97.94,99.94,99.87,95.63
2015,300000BCY139011,97.94,99.94,99.87,95.63
2016,300000BCY139011,97.3,97.96,99.87,95.63
2017,300000BCY139011,97.3,97.96,99.87,95.63
2018,300000BCY139011,97.3,97.96,99.87,95.63
2019,300000BCY139011,97.3,97.96,99.87,95.63
2020,300000BCY139011,97.3,97.96,99.87,95.63
2021,300000BCY139011,97.3,97.96,99.87,95.63
1995,300000BCY135010,91.68,94.06,90.62,91.41
1996,300000BCY135010,91.68,94.06,90.62,91.41
1997,300000BCY135010,91.68,94.06,90.62,91.41
1998,300000BCY135010,91.68,94.06,90.62,91.41
1999,300000BCY135010,71.25,94.06,90.62,63.83
2000,300000BCY135010,91.68,94.06,90.62,91.41
2001,300000BCY135010,87.46,94.06,90.62,83.5
2002,300000BCY135010,87.46,94.06,90.62,83.5
2003,300000BCY135010,87.46,94.06,90.62,83.5
2004,300000BCY135010,91.68,94.06,90.62,91.41
2005,300000BCY135010,91.68,94.06,90.62,91.41
2006,300000BCY135010,91.68,94.06,90.62,91.41
2007,300000BCY135010,91.68,94.06,90.62,91.41
2008,300000BCY135010,91.68,94.06,90.62,91.41
2009,300000BCY135010,91.68,94.06,90.62,91.41
2010,300000BCY135010,88.56,94.06,79.5,91.41
2011,300000BCY135010,84.34,94.06,79.5,83.5
2012,300000BCY135010,84.34,94.06,79.5,83.5
2013,300000BCY135010,91.68,94.06,90.62,91.41
2014,300000BCY135010,91.68,94.06,90.62,91.41
2015,300000BCY135010,91.68,94.06,90.62,91.41
2016,300000BCY135010,91.68,94.06,90.62,91.41
2017,300000BCY135010,91.68,94.06,90.62,91.41
2018,300000BCY135010,91.68,94.06,90.62,91.41
2019,300000BCY135010,91.68,94.06,90.62,91.41
2020,300000BCY135010,93.93,94.06,90.62,95.63
2021,300000BCY135010,93.93,94.06,90.62,95.63
1995,300000BCY134010,96.3,97.96,95.25,95.63
1996,300000BCY134010,96.3,97.96,95.25,95.63
1997,300000BCY134010,94.24,94.06,95.25,91.41
1998,300000BCY134010,94.24,94.06,95.25,91.41
1999,300000BCY134010,94.24,94.06,95.25,91.41
2000,300000BCY134010,94.24,94.06,95.25,91.41
2001,300000BCY134010,94.24,94.06,95.25,91.41
2002,300000BCY134010,94.24,94.06,95.25,91.41
2003,300000BCY134010,94.24,94.06,95.25,91.41
2004,300000BCY134010,94.24,94.06,95.25,91.41
2005,300000BCY134010,94.24,94.06,95.25,91.41
2006,300000BCY134010,94.24,94.06,95.25,91.41
2007,300000BCY134010,94.24,94.06,95.25,91.41
2008,300000BCY134010,94.24,94.06,95.25,91.41
2009,300000BCY134010,94.24,94.06,95.25,91.41
2010,300000BCY134010,91.99,94.06,90.62,91.41
2011,300000BCY134010,86.6,94.06,79.5,91.41
2012,300000BCY134010,86.6,94.06,79.5,91.41
2013,300000BCY134010,91.99,94.06,90.62,91.41
2014,300000BCY134010,91.99,94.06,90.62,91.41
2015,300000BCY134010,91.99,94.06,90.62,91.41
2016,300000BCY134010,91.99,94.06,90.62,91.41
2017,300000BCY134010,91.99,94.06,90.62,91.41
2018,300000BCY134010,91.99,94.06,90.62,91.41
2019,300000BCY134010,91.99,94.06,90.62,91.41
2020,300000BCY134010,91.99,94.06,90.62,91.41
2021,300000BCY134010,91.99,94.06,90.62,91.41
1995,300000BCY133014,96.35,97.96,95.25,95.63
1996,300000BCY133014,96.35,97.96,95.25,95.63
1997,300000BCY133014,91.33,91.7,90.62,91.41
1998,300000BCY133014,91.33,91.7,90.62,91.41
1999,300000BCY133014,93.23,94.06,95.25,91.41
2000,300000BCY133014,93.23,94.06,95.25,91.41
2001,300000BCY133014,93.23,94.06,95.25,91.41
2002,300000BCY133014,93.23,94.06,95.25,91.41
2003,300000BCY133014,93.23,94.06,95.25,91.41
2004,300000BCY133014,93.23,94.06,95.25,91.41
2005,300000BCY133014,93.23,94.06,95.25,91.41
2006,300000BCY133014,92.14,94.06,90.62,91.41
2007,300000BCY133014,92.14,94.06,90.62,91.41
2008,300000BCY133014,92.14,94.06,90.62,91.41
2009,300000BCY133014,88.83,94.06,90.62,83.5
2010,300000BCY133014,88.83,94.06,90.62,83.5
2011,300000BCY133014,92.14,94.06,90.62,91.41
2012,300000BCY133014,92.14,94.06,90.62,91.41
2013,300000BCY133014,92.14,94.06,90.62,91.41
2014,300000BCY133014,92.14,94.06,90.62,91.41
2015,300000BCY133014,92.14,94.06,90.62,91.41
2016,300000BCY133014,92.14,94.06,90.62,91.41
2017,300000BCY133014,92.14,94.06,90.62,91.41
2018,300000BCY133014,92.14,94.06,90.62,91.41
2019,300000BCY133014,92.14,94.06,90.62,91.41
2020,300000BCY133014,92.14,94.06,90.62,91.41
2021,300000BCY133014,92.14,94.06,90.62,91.41
1995,300000BCY133013,96.35,97.96,95.25,95.63
1996,300000BCY133013,96.35,97.96,95.25,95.63
1997,300000BCY133013,93.23,94.06,95.25,91.41
1998,300000BCY133013,93.23,94.06,95.25,91.41
1999,300000BCY133013,93.23,94.06,95.25,91.41
2000,300000BCY133013,93.23,94.06,95.25,91.41
2001,300000BCY133013,93.23,94.06,95.25,91.41
2002,300000BCY133013,93.23,94.06,95.25,91.41
2003,300000BCY133013,92.14,94.06,90.62,91.41
2004,300000BCY133013,92.14,94.06,90.62,91.41
2005,300000BCY133013,92.14,94.06,90.62,91.41
2006,300000BCY133013,92.14,94.06,90.62,91.41
2007,300000BCY133013,92.14,94.06,90.62,91.41
2008,300000BCY133013,92.14,94.06,90.62,91.41
2009,300000BCY133013,92.14,94.06,90.62,91.41
2010,300000BCY133013,92.14,94.06,90.62,91.41
2011,300000BCY133013,92.14,94.06,90.62,91.41
2012,300000BCY133013,92.14,94.06,90.62,91.41
2013,300000BCY133013,92.14,94.06,90.62,91.41
2014,300000BCY133013,92.14,94.06,90.62,91.41
2015,300000BCY133013,92.14,94.06,90.62,91.41
2016,300000BCY133013,92.14,94.06,90.62,91.41
2017,300000BCY133013,92.14,94.06,90.62,91.41
2018,300000BCY133013,92.14,94.06,90.62,91.41
2019,300000BCY133013,92.14,94.06,90.62,91.41
2020,300000BCY133013,92.14,94.06,90.62,91.41
2021,300000BCY133013,92.14,94.06,90.62,91.41
1995,300000BCY132010,96.44,97.96,95.25,95.63
1996,300000BCY132010,96.44,97.96,95.25,95.63
1997,300000BCY132010,93.72,94.06,95.25,91.41
1998,300000BCY132010,93.72,94.06,95.25,91.41
1999,300000BCY132010,92.21,94.06,90.62,91.41
2000,300000BCY132010,92.21,94.06,90.62,91.41
2001,300000BCY132010,92.21,94.06,90.62,91.41
2002,300000BCY132010,92.21,94.06,90.62,91.41
2003,300000BCY132010,92.21,94.06,90.62,91.41
2004,300000BCY132010,93.72,94.06,95.25,91.41
2005,300000BCY132010,93.72,94.06,95.25,91.41
2006,300000BCY132010,93.72,94.06,95.25,91.41
2007,300000BCY132010,93.72,94.06,95.25,91.41
2008,300000BCY132010,93.72,94.06,95.25,91.41
2009,300000BCY132010,93.72,94.06,95.25,91.41
2010,300000BCY132010,93.72,94.06,95.25,91.41
2011,300000BCY132010,92.21,94.06,90.62,91.41
2012,300000BCY132010,92.21,94.06,90.62,91.41
2013,300000BCY132010,92.21,94.06,90.62,91.41
2014,300000BCY132010,92.21,94.06,90.62,91.41
2015,300000BCY132010,92.21,94.06,90.62,91.41
2016,300000BCY132010,93.72,94.06,95.25,91.41
2017,300000BCY132010,93.72,94.06,95.25,91.41
2018,300000BCY132010,93.72,94.06,95.25,91.41
2019,300000BCY132010,93.72,94.06,95.25,91.41
2020,300000BCY132010,93.72,94.06,95.25,91.41
2021,300000BCY132010,93.72,94.06,95.25,91.41
1995,300000BCY129010,95.87,97.96,95.25,95.63
1996,300000BCY129010,95.87,97.96,95.25,95.63
1997,300000BCY129010,91.56,94.06,90.62,91.41
1998,300000BCY129010,91.56,94.06,90.62,91.41
1999,300000BCY129010,91.56,94.06,90.62,91.41
2000,300000BCY129010,91.56,94.06,90.62,91.41
2001,300000BCY129010,91.56,94.06,90.62,91.41
2002,300000BCY129010,91.56,94.06,90.62,91.41
2003,300000BCY129010,91.56,94.06,90.62,91.41
2004,300000BCY129010,91.56,94.06,90.62,91.41
2005,300000BCY129010,91.21,91.7,90.62,91.41
2006,300000BCY129010,91.21,91.7,90.62,91.41
2007,300000BCY129010,91.21,91.7,90.62,91.41
2008,300000BCY129010,91.21,91.7,90.62,91.41
2009,300000BCY129010,91.21,91.7,90.62,91.41
2010,300000BCY129010,91.21,91.7,90.62,91.41
2011,300000BCY129010,87.35,94.06,90.62,83.5
2012,300000BCY129010,87.35,94.06,90.62,83.5
2013,300000BCY129010,83.84,94.06,79.5,83.5
2014,300000BCY129010,83.84,94.06,79.5,83.5
2015,300000BCY129010,83.84,94.06,79.5,83.5
2016,300000BCY129010,83.84,94.06,79.5,83.5
2017,300000BCY129010,83.84,94.06,79.5,83.5
2018,300000BCY129010,83.84,94.06,79.5,83.5
2019,300000BCY129010,88.06,94.06,79.5,91.41
2020,300000BCY129010,88.06,94.06,79.5,91.41
2021,300000BCY129010,88.06,94.06,79.5,91.41
1995,300000BCY127010,96.54,97.96,95.25,95.63
1996,300000BCY127010,96.54,97.96,95.25,95.63
1997,300000BCY127010,94.03,97.96,90.62,91.41
1998,300000BCY127010,94.03,97.96,90.62,91.41
1999,300000BCY127010,92.33,94.06,90.62,91.41
2000,300000BCY127010,92.33,94.06,90.62,91.41
2001,300000BCY127010,92.33,94.06,90.62,91.41
2002,300000BCY127010,92.33,94.06,90.62,91.41
2003,300000BCY127010,92.33,94.06,90.62,91.41
2004,300000BCY127010,93.66,94.06,95.25,91.41
2005,300000BCY127010,93.66,94.06,95.25,91.41
2006,300000BCY127010,92.33,94.06,90.62,91.41
2007,300000BCY127010,92.33,94.06,90.62,91.41
2008,300000BCY127010,91.31,91.7,90.62,91.41
2009,300000BCY127010,91.31,91.7,90.62,91.41
2010,300000BCY127010,85.92,91.7,79.5,83.5
2011,300000BCY127010,86.94,94.06,79.5,83.5
2012,300000BCY127010,86.94,94.06,79.5,83.5
2013,300000BCY127010,85.92,91.7,79.5,83.5
2014,300000BCY127010,85.92,91.7,79.5,83.5
2015,300000BCY127010,85.92,91.7,79.5,83.5
2016,300000BCY127010,85.92,91.7,79.5,83.5
2017,300000BCY127010,85.92,91.7,79.5,83.5
2018,300000BCY127010,85.92,91.7,79.5,83.5
2019,300000BCY127010,85.92,91.7,79.5,83.5
2020,300000BCY127010,88.13,91.7,79.5,91.41
2021,300000BCY127010,88.13,91.7,79.5,91.41
1997,300000BCY126010,95.43,97.96,95.25,91.41
1999,300000BCY126010,95.43,97.96,95.25,91.41
2000,300000BCY126010,95.43,97.96,95.25,91.41
2001,300000BCY126010,95.43,97.96,95.25,91.41
2002,300000BCY126010,95.43,97.96,95.25,91.41
2003,300000BCY126010,95.43,97.96,95.25,91.41
2004,300000BCY126010,94.83,94.06,95.25,95.63
2005,300000BCY126010,93.72,94.06,95.25,91.41
2006,300000BCY126010,93.72,94.06,95.25,91.41
2007,300000BCY126010,93.72,94.06,95.25,91.41
2008,300000BCY126010,93.72,94.06,95.25,91.41
2009,300000BCY126010,95.43,97.96,95.25,91.41
2010,300000BCY126010,94.05,97.96,90.62,91.41
2011,300000BCY126010,94.05,97.96,90.62,91.41
2012,300000BCY126010,94.05,97.96,90.62,91.41
2013,300000BCY126010,89.01,94.06,79.5,91.41
2014,300000BCY126010,86.94,94.06,79.5,83.5
2015,300000BCY126010,86.94,94.06,79.5,83.5
2016,300000BCY126010,90.26,94.06,90.62,83.5
2017,300000BCY126010,90.26,94.06,90.62,83.5
2018,300000BCY126010,90.26,94.06,90.62,83.5
2019,300000BCY126010,90.26,94.06,90.62,83.5
2020,300000BCY126010,92.34,94.06,90.62,91.41
2021,300000BCY126010,92.34,94.06,90.62,91.41
1995,300000BCY125010,97.39,99.94,95.25,95.63
1996,300000BCY125010,97.39,99.94,95.25,95.63
1997,300000BCY125010,95.36,97.96,95.25,91.41
1998,300000BCY125010,95.36,97.96,95.25,91.41
1999,300000BCY125010,95.36,97.96,95.25,91.41
2000,300000BCY125010,95.36,97.96,95.25,91.41
2001,300000BCY125010,95.36,97.96,95.25,91.41
2002,300000BCY125010,95.36,97.96,95.25,91.41
2003,300000BCY125010,95.36,97.96,95.25,91.41
2004,300000BCY125010,95.36,97.96,95.25,91.41
2005,300000BCY125010,95.36,97.96,95.25,91.41
2006,300000BCY125010,93.66,94.06,95.25,91.41
2007,300000BCY125010,93.66,94.06,95.25,91.41
2008,300000BCY125010,91.46,94.06,95.25,83.5
2009,300000BCY125010,91.46,94.06,95.25,83.5
2010,300000BCY125010,90.13,94.06,90.62,83.5
2011,300000BCY125010,90.13,94.06,90.62,83.5
2012,300000BCY125010,90.13,94.06,90.62,83.5
2013,300000BCY125010,90.13,94.06,90.62,83.5
2014,300000BCY125010,90.13,94.06,90.62,83.5
2015,300000BCY125010,90.13,94.06,90.62,83.5
2016,300000BCY125010,90.13,94.06,90.62,83.5
2017,300000BCY125010,90.13,94.06,90.62,83.5
2018,300000BCY125010,90.13,94.06,90.62,83.5
2019,300000BCY125010,90.13,94.06,90.62,83.5
2020,300000BCY125010,92.33,94.06,90.62,91.41
2021,300000BCY125010,92.33,94.06,90.62,91.41
1995,300000BCY124010,98.72,99.94,99.87,95.63
1996,300000BCY124010,98.72,99.94,99.87,95.63
1997,300000BCY124010,95.36,97.96,95.25,91.41
1998,300000BCY124010,95.36,97.96,95.25,91.41
1999,300000BCY124010,95.36,97.96,95.25,91.41
2000,300000BCY124010,95.36,97.96,95.25,91.41
2001,300000BCY124010,95.36,97.96,95.25,91.41
2002,300000BCY124010,95.36,97.96,95.25,91.41
2003,300000BCY124010,95.36,97.96,95.25,91.41
2004,300000BCY124010,95.36,97.96,95.25,91.41
2005,300000BCY124010,95.36,97.96,95.25,91.41
2006,300000BCY124010,91.82,97.96,90.62,83.5
2007,300000BCY124010,91.82,97.96,90.62,83.5
2008,300000BCY124010,91.82,97.96,90.62,83.5
2009,300000BCY124010,91.82,97.96,90.62,83.5
2010,300000BCY124010,88.61,97.96,79.5,83.5
2011,300000BCY124010,88.61,97.96,79.5,83.5
2012,300000BCY124010,88.61,97.96,79.5,83.5
2013,300000BCY124010,92.33,94.06,90.62,91.41
2014,300000BCY124010,92.33,94.06,90.62,91.41
2015,300000BCY124010,92.33,94.06,90.62,91.41
2016,300000BCY124010,92.33,94.06,90.62,91.41
2017,300000BCY124010,92.33,94.06,90.62,91.41
2018,300000BCY124010,92.33,94.06,90.62,91.41
2019,300000BCY124010,92.33,94.06,90.62,91.41
2020,300000BCY124010,92.33,94.06,90.62,91.41
2021,300000BCY124010,92.33,94.06,90.62,91.41
1995,300000BCY121010,94.39,97.96,95.25,91.41
1996,300000BCY121010,94.39,97.96,95.25,91.41
1997,300000BCY121010,87.31,97.96,79.5,83.5
1998,300000BCY121010,87.31,97.96,79.5,83.5
1999,300000BCY121010,93.36,97.96,90.62,91.41
2000,300000BCY121010,93.36,97.96,90.62,91.41
2001,300000BCY121010,95.28,97.96,90.62,95.63
2002,300000BCY121010,95.28,97.96,90.62,95.63
2003,300000BCY121010,95.28,97.96,90.62,95.63
2004,300000BCY121010,94.01,94.06,90.62,95.63
2005,300000BCY121010,93.12,94.06,95.25,91.41
2006,300000BCY121010,93.12,94.06,95.25,91.41
2007,300000BCY121010,93.12,94.06,95.25,91.41
2008,300000BCY121010,92.36,91.7,95.25,91.41
2009,300000BCY121010,94.27,91.7,95.25,95.63
2010,300000BCY121010,88.52,94.06,90.62,83.5
2011,300000BCY121010,86.04,94.06,79.5,83.5
2012,300000BCY121010,86.04,94.06,79.5,83.5
2013,300000BCY121010,86.04,94.06,79.5,83.5
2014,300000BCY121010,86.04,94.06,79.5,83.5
2015,300000BCY121010,86.04,94.06,79.5,83.5
2016,300000BCY121010,86.04,94.06,79.5,83.5
2017,300000BCY121010,92.1,94.06,90.62,91.41
2018,300000BCY121010,92.1,94.06,90.62,91.41
2019,300000BCY121010,92.1,94.06,90.62,91.41
2020,300000BCY121010,92.1,94.06,90.62,91.41
2021,300000BCY121010,92.1,94.06,90.62,91.41
1995,300000BCY118010,93.58,97.96,95.25,91.41
1996,300000BCY118010,93.58,97.96,95.25,91.41
1997,300000BCY118010,83.63,94.06,79.5,83.5
1998,300000BCY118010,83.63,94.06,79.5,83.5
1999,300000BCY118010,71.18,94.06,90.62,63.83
2000,300000BCY118010,91.51,94.06,90.62,91.41
2001,300000BCY118010,83.63,94.06,79.5,83.5
2002,300000BCY118010,83.63,94.06,79.5,83.5
2003,300000BCY118010,83.63,94.06,79.5,83.5
2004,300000BCY118010,83.63,94.06,79.5,83.5
2005,300000BCY118010,91.51,94.06,90.62,91.41
2006,300000BCY118010,93.76,94.06,90.62,95.63
2007,300000BCY118010,93.76,94.06,90.62,95.63
2008,300000BCY118010,93.76,94.06,90.62,95.63
2009,300000BCY118010,93.76,94.06,90.62,95.63
2010,300000BCY118010,91.51,94.06,90.62,91.41
2011,300000BCY118010,91.51,94.06,90.62,91.41
2012,300000BCY118010,91.51,94.06,90.62,91.41
2013,300000BCY118010,87.84,94.06,79.5,91.41
2014,300000BCY118010,87.84,94.06,79.5,91.41
2015,300000BCY118010,87.84,94.06,79.5,91.41
2016,300000BCY118010,87.84,94.06,79.5,91.41
2017,300000BCY118010,91.19,91.7,90.62,91.41
2018,300000BCY118010,91.19,91.7,90.62,91.41
2019,300000BCY118010,91.19,91.7,90.62,91.41
2020,300000BCY118010,91.19,91.7,90.62,91.41
2021,300000BCY118010,93.44,91.7,90.62,95.63
1995,300000BCY112010,91.11,99.94,79.5,95.63
1996,300000BCY112010,91.11,99.94,79.5,95.63
1997,300000BCY112010,83.81,94.06,79.5,83.5
1998,300000BCY112010,83.81,94.06,79.5,83.5
1999,300000BCY112010,71.29,94.06,90.62,63.83
2000,300000BCY112010,91.56,94.06,90.62,91.41
2001,300000BCY112010,88.58,97.96,79.5,91.41
2002,300000BCY112010,88.58,97.96,79.5,91.41
2003,300000BCY112010,88.58,97.96,79.5,91.41
2004,300000BCY112010,92.14,97.96,90.62,91.41
2005,300000BCY112010,92.14,97.96,90.62,91.41
2006,300000BCY112010,92.14,97.96,90.62,91.41
2007,300000BCY112010,92.14,97.96,90.62,91.41
2008,300000BCY112010,87.99,94.06,79.5,91.41
2009,300000BCY112010,87.99,94.06,79.5,91.41
2010,300000BCY112010,87.99,94.06,79.5,91.41
2011,300000BCY112010,87.99,94.06,79.5,91.41
2012,300000BCY112010,87.99,94.06,79.5,91.41
2013,300000BCY112010,87.99,94.06,79.5,91.41
2014,300000BCY112010,87.99,94.06,79.5,91.41
2015,300000BCY112010,87.99,94.06,79.5,91.41
2016,300000BCY112010,91.56,94.06,90.62,91.41
2017,300000BCY112010,91.56,94.06,90.62,91.41
2018,300000BCY112010,91.56,94.06,90.62,91.41
2019,300000BCY112010,91.56,94.06,90.62,91.41
2020,300000BCY112010,87.99,94.06,79.5,91.41
2021,300000BCY112010,87.99,94.06,79.5,91.41
1995,300000BCY103010,96.34,97.96,95.25,95.63
1996,300000BCY103010,96.34,97.96,95.25,95.63
1997,300000BCY103010,90.77,97.96,95.25,83.5
1998,300000BCY103010,90.77,97.96,95.25,83.5
1999,300000BCY103010,90.77,97.96,95.25,83.5
2000,300000BCY103010,90.77,97.96,95.25,83.5
2001,300000BCY103010,96.34,97.96,95.25,95.63
2002,300000BCY103010,96.34,97.96,95.25,95.63
2003,300000BCY103010,96.34,97.96,95.25,95.63
2004,300000BCY103010,93.09,94.06,95.25,91.41
2005,300000BCY103010,92.3,91.7,95.25,91.41
2006,300000BCY103010,92.3,91.7,95.25,91.41
2007,300000BCY103010,92.3,91.7,95.25,91.41
2008,300000BCY103010,92.3,91.7,95.25,91.41
2009,300000BCY103010,92.3,91.7,95.25,91.41
2010,300000BCY103010,91.35,91.7,90.62,91.41
2011,300000BCY103010,91.35,91.7,90.62,91.41
2012,300000BCY103010,91.35,91.7,90.62,91.41
2013,300000BCY103010,91.35,91.7,90.62,91.41
2014,300000BCY103010,91.35,91.7,90.62,91.41
2015,300000BCY103010,91.35,91.7,90.62,91.41
2016,300000BCY103010,91.35,91.7,90.62,91.41
2017,300000BCY103010,91.35,91.7,90.62,91.41
2018,300000BCY103010,91.35,91.7,90.62,91.41
2019,300000BCY103010,91.35,91.7,90.62,91.41
2021,300000BCY103010,99.95,99.94,99.87,100.0
1995,300000BCY102010,93.68,97.96,95.25,91.41
1996,300000BCY102010,93.68,97.96,95.25,91.41
1997,300000BCY102010,84.09,91.7,79.5,83.5
1998,300000BCY102010,84.09,91.7,79.5,83.5
1999,300000BCY102010,84.55,94.06,79.5,83.5
2000,300000BCY102010,84.55,94.06,79.5,83.5
2001,300000BCY102010,91.73,94.06,90.62,91.41
2002,300000BCY102010,91.73,94.06,90.62,91.41
2003,300000BCY102010,91.73,94.06,90.62,91.41
2004,300000BCY102010,91.73,94.06,90.62,91.41
2005,300000BCY102010,91.73,94.06,90.62,91.41
2006,300000BCY102010,88.89,94.06,79.5,91.41
2007,300000BCY102010,88.89,94.06,79.5,91.41
2008,300000BCY102010,88.2,90.57,79.5,91.41
2009,300000BCY102010,88.2,90.57,79.5,91.41
2010,300000BCY102010,88.2,90.57,79.5,91.41
2011,300000BCY102010,88.2,90.57,79.5,91.41
2012,300000BCY102010,88.2,90.57,79.5,91.41
2013,300000BCY102010,83.87,90.57,79.5,83.5
2014,300000BCY102010,83.87,90.57,79.5,83.5
2015,300000BCY102010,83.87,90.57,79.5,83.5
2016,300000BCY102010,83.87,90.57,79.5,83.5
2017,300000BCY102010,83.87,90.57,79.5,83.5
2018,300000BCY102010,83.87,90.57,79.5,83.5
2019,300000BCY102010,83.87,90.57,79.5,83.5
2020,300000BCY102010,83.87,90.57,79.5,83.5
2021,300000BCY102010,83.87,90.57,79.5,83.5
1997,300000BCY085010,91.79,94.06,90.62,91.41
1998,300000BCY085010,91.79,94.06,90.62,91.41
1999,300000BCY085010,87.33,94.06,90.62,83.5
2000,300000BCY085010,87.33,94.06,90.62,83.5
2001,300000BCY085010,87.33,94.06,90.62,83.5
2002,300000BCY085010,87.33,94.06,90.62,83.5
2003,300000BCY085010,87.33,94.06,90.62,83.5
2004,300000BCY085010,91.79,94.06,90.62,91.41
2005,300000BCY085010,91.79,94.06,90.62,91.41
2006,300000BCY085010,91.79,94.06,90.62,91.41
2007,300000BCY085010,91.79,94.06,90.62,91.41
2008,300000BCY085010,91.79,94.06,90.62,91.41
2009,300000BCY085010,91.79,94.06,90.62,91.41
2010,300000BCY085010,91.79,94.06,90.62,91.41
2011,300000BCY085010,91.79,94.06,90.62,91.41
2012,300000BCY085010,91.79,94.06,90.62,91.41
2013,300000BCY085010,91.79,94.06,90.62,91.41
2014,300000BCY085010,91.79,94.06,90.62,91.41
2015,300000BCY085010,91.79,94.06,90.62,91.41
2016,300000BCY085010,91.29,91.7,90.62,91.41
2017,300000BCY085010,91.29,91.7,90.62,91.41
2018,300000BCY085010,91.29,91.7,90.62,91.41
2019,300000BCY085010,91.29,91.7,90.62,91.41
2020,300000BCY085010,91.29,91.7,90.62,91.41
2021,300000BCY085010,91.29,91.7,90.62,91.41
1995,300000BCY082010,93.58,97.96,95.25,91.41
1996,300000BCY082010,93.58,97.96,95.25,91.41
1997,300000BCY082010,93.58,97.96,95.25,91.41
1998,300000BCY082010,93.58,97.96,95.25,91.41
1999,300000BCY082010,93.58,97.96,95.25,91.41
2000,300000BCY082010,93.58,97.96,95.25,91.41
2001,300000BCY082010,93.58,97.96,95.25,91.41
2002,300000BCY082010,93.58,97.96,95.25,91.41
2003,300000BCY082010,93.58,97.96,95.25,91.41
2004,300000BCY082010,93.04,94.06,95.25,91.41
2005,300000BCY082010,93.04,94.06,95.25,91.41
2006,300000BCY082010,93.04,94.06,95.25,91.41
2007,300000BCY082010,93.04,94.06,95.25,91.41
2008,300000BCY082010,91.51,94.06,90.62,91.41
2009,300000BCY082010,91.51,94.06,90.62,91.41
2010,300000BCY082010,91.51,94.06,90.62,91.41
2011,300000BCY082010,92.05,97.96,90.62,91.41
2012,300000BCY082010,92.05,97.96,90.62,91.41
2013,300000BCY082010,93.76,94.06,90.62,95.63
2014,300000BCY082010,93.76,94.06,90.62,95.63
2015,300000BCY082010,93.76,94.06,90.62,95.63
2016,300000BCY082010,93.76,94.06,90.62,95.63
2017,300000BCY082010,93.44,91.7,90.62,95.63
2018,300000BCY082010,93.44,91.7,90.62,95.63
2019,300000BCY082010,91.19,91.7,90.62,91.41
2020,300000BCY082010,91.19,91.7,90.62,91.41
2021,300000BCY082010,91.19,91.7,90.62,91.41
1995,300000BCY081010,93.6,97.96,95.25,91.41
1996,300000BCY081010,93.6,97.96,95.25,91.41
1997,300000BCY081010,92.89,94.06,95.25,91.41
1998,300000BCY081010,92.89,94.06,95.25,91.41
1999,300000BCY081010,93.6,97.96,95.25,91.41
2000,300000BCY081010,93.6,97.96,95.25,91.41
2001,300000BCY081010,93.6,97.96,95.25,91.41
2002,300000BCY081010,93.6,97.96,95.25,91.41
2003,300000BCY081010,93.6,97.96,95.25,91.41
2004,300000BCY081010,95.95,97.96,95.25,95.63
2005,300000BCY081010,95.95,97.96,95.25,95.63
2006,300000BCY081010,95.95,97.96,95.25,95.63
2007,300000BCY081010,95.95,97.96,95.25,95.63
2008,300000BCY081010,95.95,97.96,95.25,95.63
2009,300000BCY081010,95.95,97.96,95.25,95.63
2010,300000BCY081010,92.38,97.96,90.62,91.41
2011,300000BCY081010,92.38,97.96,90.62,91.41
2012,300000BCY081010,92.38,97.96,90.62,91.41
2013,300000BCY081010,87.27,94.06,90.62,83.5
2014,300000BCY081010,91.68,94.06,90.62,91.41
2015,300000BCY081010,91.68,94.06,90.62,91.41
2016,300000BCY081010,91.26,91.7,90.62,91.41
2017,300000BCY081010,91.26,91.7,90.62,91.41
2018,300000BCY081010,91.26,91.7,90.62,91.41
2019,300000BCY081010,91.26,91.7,90.62,91.41
2020,300000BCY081010,91.26,91.7,90.62,91.41
2021,300000BCY081010,91.26,91.7,90.62,91.41
1995,300000BCY080010,94.55,99.94,95.25,91.41
1996,300000BCY080010,94.55,99.94,95.25,91.41
1997,300000BCY080010,92.18,94.06,90.62,95.63
1998,300000BCY080010,92.18,94.06,90.62,95.63
1999,300000BCY080010,91.33,97.96,90.62,91.41
2000,300000BCY080010,91.33,97.96,90.62,91.41
2001,300000BCY080010,92.45,97.96,90.62,95.63
2002,300000BCY080010,92.45,97.96,90.62,95.63
2003,300000BCY080010,92.45,97.96,90.62,95.63
2004,300000BCY080010,92.45,97.96,90.62,95.63
2005,300000BCY080010,83.65,94.06,79.5,91.41
2006,300000BCY080010,83.65,94.06,79.5,91.41
2007,300000BCY080010,83.65,94.06,79.5,91.41
2008,300000BCY080010,83.65,94.06,79.5,91.41
2009,300000BCY080010,83.65,94.06,79.5,91.41
